fsd_no;fsd_vr;fsd_id;fsd_li;v1_1;v1_2;v1_3;v1_4;v1_5;v1_6;v2;v3_1;v3_2;v3_3;v3_4;v3_5;v4_1;v4_2;v4_3;v4_4;v5_1;v5_2;v5_3;v5_4;bv1;bv2;bv3_1;bv3_2;bv3_3;bv3_4;bv3_5;bv3_6;bv3_7;bv3_8;bv4;bv5;bv6
3077;2;110;(A) openly available for all users without registration (CC BY 4.0);1;1;1;1;1;1;1;2;3;2;2;1;2;9;3;2;3;3;1;2;1;18;8; ; ; ; ; ; ; ;7;0;1,660998
3077;2;111;(A) openly available for all users without registration (CC BY 4.0);2;2;1;2;2;2;2;1;1;2;1;1;2;2;9;2;1;2;2;2;2;60;9; ; ; ; ; ; ; ;3;0;1,258711
3077;2;112;(A) openly available for all users without registration (CC BY 4.0);2;2;2;1;1;1;1;2;3;1;1;3;1;3;3;3;3;2;2;3;2;56;8; ; ; ; ; ; ; ;5;0;,568489
3077;2;113;(A) openly available for all users without registration (CC BY 4.0);1;1;1;1;1;1;2;3;4;2;3;2;2;2;2;1;1;1;2;1;1;46;1; ; ; ; ; ; ; ;3;0;6,415555
3077;2;114;(A) openly available for all users without registration (CC BY 4.0);2;2;2;1;2;1;1;2;2;2;2;2;3;9;3;2;2;3;3;1;2;61;7; ; ; ; ; ; ; ;5;0;,27341
3077;2;115;(A) openly available for all users without registration (CC BY 4.0);2;2;2;2;2;1;1;2;2;1;2;1;1;2;2;2;2;2;2;2;1;87;8; ; ; ; ; ; ; ;4;0;,097639
3077;2;116;(A) openly available for all users without registration (CC BY 4.0);9;2;9;9;2;9;1;1;1;1;3;1;3;2;3;9;3;3;2;3;2;41;8; ; ; ; ; ; ; ;9;0;1,416644
3077;2;117;(A) openly available for all users without registration (CC BY 4.0);9;9;9;9;9;9;2;1;2;1;1;2;9;2;2;2;2;2;9;3;2;60;3; ; ; ; ; ; ; ;2;0;1,938956
3077;2;118;(A) openly available for all users without registration (CC BY 4.0);2;2;2;1;2;1;1;3;2;1;1;1;2;3;3;3;3;1;1;1;1;59;9; ; ; ; ; ; ; ;4;0;,118926
3077;2;119;(A) openly available for all users without registration (CC BY 4.0);1;2;1;2;2;1;1;1;1;1;1;1;1;2;2;2;3;1;1;1;2;61;8; ; ; ; ; ; ; ;4;0;1,938956
3077;2;120;(A) openly available for all users without registration (CC BY 4.0);2;1;1;1;2;2;1;1;3;3;2;2;3;2;2;3;4;2;1;1;1;68;8; ; ; ; ; ; ; ;5;0;,135172
3077;2;121;(A) openly available for all users without registration (CC BY 4.0);2;2;2;2;2;2;1;2;1;2;2;1;1;3;1;2;2;2;1;1;1;64;6; ; ; ; ; ; ; ;3;0;,135172
3077;2;122;(A) openly available for all users without registration (CC BY 4.0);1;2;2;2;2;1;1;1;2;3;2;2;2;4;3;3;3;2;2;3;2;59;6; ; ; ; ; ; ; ;4;0;,874556
